,Player,Pos,Year,Week,Team,Opponent Abbrev,Date,H/A,OT,Team Score,Opponent Score,Spread,Over/Under,Actual Margin,Indoor/Outdoor,Surface,Weather,Temperature,Wind,Sk,Int,Int TD,FF,FR,Fum TD,QBHits,TFL,Oppt Int TD,Oppt Fum TD,Oppt Punt TD,Oppt Kick TD
27304,DAL DST,DST,2017,1,DAL,,9/10/2017,A,,,3,6,46.5,16,retractable roof (closed),matrixturf,indoors,,,3,1,0,1,0,0,5,4,0,0,0,0
27305,NYG DST,DST,2017,1,NYG,,9/10/2017,H,,,19,-6,46.5,-16,retractable roof (closed),matrixturf,indoors,,,1,0,0,0,0,0,3,4,0,0,0,0
27306,ARI DST,DST,2017,1,ARI,,9/10/2017,H,,,35,2.5,48.5,-12,dome,fieldturf ,indoors,,,1,1,1,0,0,0,4,5,1,0,0,0
27307,DET DST,DST,2017,1,DET,,9/10/2017,A,,,23,-2.5,48.5,12,dome,fieldturf ,indoors,,,1,3,1,2,1,0,7,3,1,0,0,0
27308,GB DST,DST,2017,1,GB,,9/10/2017,A,,,9,2.5,49.5,8,outdoors,grass ,"71 degrees, wind 11 mph",71,11,3,0,0,1,1,0,7,6,0,0,0,0
27309,SEA DST,DST,2017,1,SEA,,9/10/2017,H,,,17,-2.5,49.5,-8,outdoors,grass ,"71 degrees, wind 11 mph",71,11,4,1,0,0,0,0,9,5,0,0,0,0
27310,HOU DST,DST,2017,1,HOU,,9/10/2017,A,,,29,5.5,38,-22,retractable roof (open),astroturf,indoors,,,0,0,0,1,0,0,3,3,0,1,0,0
27311,JAX DST,DST,2017,1,JAX,,9/10/2017,H,,,7,-5.5,38,22,retractable roof (open),astroturf,indoors,,,10,1,0,3,3,1,12,6,0,0,0,0
27312,OAK DST,DST,2017,1,OAK,,9/10/2017,H,,,16,-2.5,49.5,10,outdoors,grass ,"72 degrees, wind 7 mph",72,7,1,0,0,0,0,0,4,3,0,0,0,0
27313,TEN DST,DST,2017,1,TEN,,9/10/2017,A,,,26,2.5,49.5,-10,outdoors,grass ,"72 degrees, wind 7 mph",72,7,2,0,0,2,0,0,3,3,0,0,0,0
27314,IND DST,DST,2017,1,IND,,9/10/2017,H,,,46,-3.5,41.5,-37,outdoors,grass,"90 degrees, wind 2 mph",90,2,1,0,0,1,2,0,,,2,0,0,0
27315,LAR DST,DST,2017,1,LAR,,9/10/2017,A,,,9,3.5,41.5,37,outdoors,grass,"90 degrees, wind 2 mph",90,2,4,2,2,2,1,0,5,9,0,0,0,0
27316,CAR DST,DST,2017,1,CAR,,9/10/2017,H,,,3,4.5,45.5,20,outdoors,grass,"87 degrees, wind 8 mph",87,8,4,1,0,1,1,0,9,3,0,0,0,0
27317,SF DST,DST,2017,1,SF,,9/10/2017,A,,,23,-4.5,45.5,-20,outdoors,grass,"87 degrees, wind 8 mph",87,8,0,1,0,1,1,0,,,0,0,0,0
27318,PHI DST,DST,2017,1,PHI,,9/10/2017,H,,,17,2,49.5,13,outdoors,grass ,"67 degrees, wind 5 mph",67,5,4,1,0,2,3,1,7,4,1,0,0,0
27319,WAS DST,DST,2017,1,WAS,,9/10/2017,A,,,30,-2,49.5,-13,outdoors,grass ,"67 degrees, wind 5 mph",67,5,2,1,1,0,1,0,11,4,0,1,0,0
27320,DEN DST,DST,2017,1,DEN,,9/11/2017,A,,,21,3,41.5,3,outdoors,grass ,"73 degrees, wind 12 mph",73,12,1,1,0,0,0,0,6,5,0,0,0,0
27321,LAC DST,DST,2017,1,LAC,,9/11/2017,H,,,24,-3,41.5,-3,outdoors,grass ,"73 degrees, wind 12 mph",73,12,4,1,0,1,1,0,9,4,0,0,0,0
27322,MIN DST,DST,2017,1,MIN,,9/11/2017,A,,,19,3,47.5,10,dome,sportturf,indoors,,,1,0,0,0,1,0,,,0,0,0,0
27323,NO DST,DST,2017,1,NO,,9/11/2017,H,,,29,-3,47.5,-10,dome,sportturf,indoors,,,1,0,0,1,0,0,2,5,0,0,0,0
27324,CIN DST,DST,2017,2,CIN,,9/14/2017,A,,,13,5,38,-4,outdoors,fieldturf ,"69 degrees, wind 2 mph",69,2,3,0,0,0,0,0,6,5,0,0,0,0
27325,HOU DST,DST,2017,2,HOU,,9/14/2017,H,,,9,-5,38,4,outdoors,fieldturf ,"69 degrees, wind 2 mph",69,2,3,0,0,1,1,0,4,6,0,0,0,0
27326,ATL DST,DST,2017,2,ATL,,9/17/2017,A,,,23,3,55,11,dome,fieldturf,indoors,,,3,1,0,1,1,1,7,3,0,0,0,0
27327,GB DST,DST,2017,2,GB,,9/17/2017,H,,,34,-3,55,-11,dome,fieldturf,indoors,,,3,0,0,0,0,0,7,4,0,1,0,0
27328,BUF DST,DST,2017,2,BUF,,9/17/2017,H,,,9,-6.5,43,-6,outdoors,grass ,"83 degrees, wind 5 mph",83,5,6,0,0,0,1,0,11,16,0,0,0,0
27329,CAR DST,DST,2017,2,CAR,,9/17/2017,A,,,3,6.5,43,6,outdoors,grass ,"83 degrees, wind 5 mph",83,5,3,0,0,1,0,0,6,6,0,0,0,0
27330,ARI DST,DST,2017,2,ARI,,9/17/2017,H,OT,,13,7,44,3,retractable roof (closed),fieldturf ,indoors,,,4,1,0,2,0,0,8,9,0,0,0,0
27331,IND DST,DST,2017,2,IND,,9/17/2017,A,OT,,16,-7,44,-3,retractable roof (closed),fieldturf ,indoors,,,4,1,0,0,1,0,12,8,0,0,0,0
27332,DAL DST,DST,2017,2,DAL,,9/17/2017,H,,,42,2.5,44,-25,outdoors,grass ,"72 degrees, wind 5 mph",72,5,2,1,0,2,1,0,3,4,1,0,0,0
27333,DEN DST,DST,2017,2,DEN,,9/17/2017,A,,,17,-2.5,44,25,outdoors,grass ,"72 degrees, wind 5 mph",72,5,2,2,1,0,1,0,7,4,0,0,0,0
27334,JAX DST,DST,2017,2,JAX,,9/17/2017,A,,,37,-1,42,-21,outdoors,grass ,"84 degrees, wind 10 mph",84,10,1,1,0,0,0,0,2,3,0,0,0,0
27335,TEN DST,DST,2017,2,TEN,,9/17/2017,H,,,16,1,42,21,outdoors,grass ,"84 degrees, wind 10 mph",84,10,2,2,0,2,1,0,5,2,0,0,0,0
27336,KC DST,DST,2017,2,KC,,9/17/2017,A,,,20,4,46.5,7,outdoors,grass ,"68 degrees, wind 7 mph",68,7,6,1,0,3,1,0,10,10,0,0,0,0
27337,PHI DST,DST,2017,2,PHI,,9/17/2017,H,,,27,-4,46.5,-7,outdoors,grass ,"68 degrees, wind 7 mph",68,7,4,0,0,0,1,0,,,0,0,0,0
27338,NO DST,DST,2017,2,NO,,9/17/2017,A,,,36,-5.5,55,-16,dome,sportturf,indoors,,,2,0,0,0,0,0,5,4,0,0,0,0
27339,NE DST,DST,2017,2,NE,,9/17/2017,H,,,20,5.5,55,16,dome,sportturf,indoors,,,1,0,0,0,0,0,7,3,0,0,0,0
27340,MIN DST,DST,2017,2,MIN,,9/17/2017,H,,,26,-8.5,43,-17,outdoors,grass ,"78 degrees, wind 1 mph",78,1,2,0,0,0,0,0,5,4,0,0,0,0
27341,PIT DST,DST,2017,2,PIT,,9/17/2017,A,,,9,8.5,43,17,outdoors,grass ,"78 degrees, wind 1 mph",78,1,2,0,0,1,1,0,9,4,0,0,0,0
27342,NYJ DST,DST,2017,2,NYJ,,9/17/2017,H,,,45,-14,44,-25,outdoors,grass ,"70 degrees, wind 6 mph",70,6,0,0,0,1,0,0,0,4,0,0,0,0
27343,OAK DST,DST,2017,2,OAK,,9/17/2017,A,,,20,14,44,25,outdoors,grass ,"70 degrees, wind 6 mph",70,6,4,0,0,1,2,0,5,4,0,0,0,0
27344,LAR DST,DST,2017,2,LAR,,9/17/2017,A,,,27,3,46.5,-7,outdoors,grass,"74 degrees, wind 3 mph",74,3,2,0,0,1,1,0,,,0,0,0,0
27345,WAS DST,DST,2017,2,WAS,,9/17/2017,H,,,20,-3,46.5,7,outdoors,grass,"74 degrees, wind 3 mph",74,3,2,1,0,3,1,0,6,3,0,0,0,0
27346,BAL DST,DST,2017,2,BAL,,9/17/2017,A,,,10,7.5,39.5,14,outdoors,grass,"80 degrees, wind 2 mph",80,2,3,4,0,1,1,0,9,4,0,0,0,0
27347,CLE DST,DST,2017,2,CLE,,9/17/2017,H,,,24,-7.5,39.5,-14,outdoors,grass,"80 degrees, wind 2 mph",80,2,2,1,0,1,2,0,4,10,0,0,0,0
27348,LAC DST,DST,2017,2,LAC,,9/17/2017,A,,,19,3.5,46,-2,outdoors,grass,"71 degrees, wind 7 mph",71,7,2,0,0,0,0,0,3,10,0,0,0,0
27349,MIA DST,DST,2017,2,MIA,,9/17/2017,H,,,17,-3.5,46,2,outdoors,grass,"71 degrees, wind 7 mph",71,7,1,0,0,0,0,0,5,5,0,0,0,0
27350,SEA DST,DST,2017,2,SEA,,9/17/2017,A,,,9,13.5,42,3,outdoors,fieldturf ,"65 degrees, wind 12 mph",65,12,2,1,0,0,1,0,4,3,0,0,0,0
27351,SF DST,DST,2017,2,SF,,9/17/2017,H,,,12,-13.5,42,-3,outdoors,fieldturf ,"65 degrees, wind 12 mph",65,12,3,0,0,0,0,0,,,0,0,0,0
27352,CHI DST,DST,2017,2,CHI,,9/17/2017,H,,,29,-7,44,-22,outdoors,grass ,"88 degrees, wind 7 mph",88,7,2,0,0,1,1,0,6,4,1,0,0,0
27353,TB DST,DST,2017,2,TB,,9/17/2017,A,,,7,7,44,22,outdoors,grass ,"88 degrees, wind 7 mph",88,7,1,2,1,2,2,0,9,6,0,0,0,0
27354,DET DST,DST,2017,2,DET,,9/18/2017,H,,,10,-3,42,14,outdoors,fieldturf ,"72 degrees, wind 5 mph",72,5,5,1,0,1,0,0,8,8,0,0,0,0
27355,NYG DST,DST,2017,2,NYG,,9/18/2017,A,,,24,3,42,-14,outdoors,fieldturf ,"72 degrees, wind 5 mph",72,5,3,0,0,1,1,0,4,6,0,0,1,0
27356,LAR DST,DST,2017,3,LAR,,9/21/2017,H,,,39,3,40.5,2,outdoors,grass,"68 degrees, wind 13 mph",68,13,4,1,0,1,1,0,7,6,0,0,0,0
27357,SF DST,DST,2017,3,SF,,9/21/2017,A,,,41,-3,40.5,-2,outdoors,grass,"68 degrees, wind 13 mph",68,13,0,0,0,2,2,0,,,0,0,0,0
27358,BUF DST,DST,2017,3,BUF,,9/24/2017,A,,,16,-3.5,40,10,outdoors,a_turf,"83 degrees, wind 5 mph",83,5,3,2,0,1,0,0,6,4,0,0,0,0
27359,DEN DST,DST,2017,3,DEN,,9/24/2017,H,,,26,3.5,40,-10,outdoors,a_turf,"83 degrees, wind 5 mph",83,5,4,0,0,0,0,0,7,8,0,0,0,0
27360,CAR DST,DST,2017,3,CAR,,9/24/2017,A,,,34,5,46.5,-21,outdoors,grass ,"82 degrees, wind 6 mph",82,6,1,0,0,0,0,0,4,4,0,0,0,0
27361,NO DST,DST,2017,3,NO,,9/24/2017,H,,,13,-5,46.5,21,outdoors,grass ,"82 degrees, wind 6 mph",82,6,4,3,0,2,0,0,5,5,0,0,0,0
27362,CHI DST,DST,2017,3,CHI,,9/24/2017,A,OT,,17,-7,43.5,6,outdoors,grass ,"89 degrees, wind 5 mph",89,5,3,0,0,1,2,0,6,2,0,0,0,0
27363,PIT DST,DST,2017,3,PIT,,9/24/2017,H,OT,,23,7,43.5,-6,outdoors,grass ,"89 degrees, wind 5 mph",89,5,2,1,0,3,1,0,3,7,0,0,0,0
27364,CLE DST,DST,2017,3,CLE,,9/24/2017,H,,,31,1,42,-3,retractable roof (closed),fieldturf ,indoors,,,3,0,0,1,1,0,7,7,0,0,0,0
27365,IND DST,DST,2017,3,IND,,9/24/2017,A,,,28,-1,42,3,retractable roof (closed),fieldturf ,indoors,,,1,3,0,0,0,0,13,4,0,0,0,0
27366,ATL DST,DST,2017,3,ATL,,9/24/2017,H,,,26,3,51,4,dome,fieldturf ,indoors,,,2,0,0,0,0,0,6,6,1,0,0,0
27367,DET DST,DST,2017,3,DET,,9/24/2017,A,,,30,-3,51,-4,dome,fieldturf ,indoors,,,2,3,1,0,0,0,5,3,0,0,0,0
27368,CIN DST,DST,2017,3,CIN,,9/24/2017,H,OT,,27,-7,47.5,-3,outdoors,grass ,"89 degrees, wind 8 mph",89,8,6,1,1,0,0,0,9,4,0,0,0,0
27369,GB DST,DST,2017,3,GB,,9/24/2017,A,OT,,24,7,47.5,3,outdoors,grass ,"89 degrees, wind 8 mph",89,8,3,0,0,0,1,0,5,9,1,0,0,0
27370,BAL DST,DST,2017,3,BAL,,9/24/2017,H,,,44,3,38,-37,outdoors,grass ,"70 degrees, wind 10 mph",70,10,0,0,0,0,0,0,3,2,0,0,0,0
27371,JAX DST,DST,2017,3,JAX,,9/24/2017,A,,,7,-3,38,37,outdoors,grass ,"70 degrees, wind 10 mph",70,10,2,2,0,1,1,0,5,3,0,0,0,0
27372,MIN DST,DST,2017,3,MIN,,9/24/2017,A,,,17,0,41,17,dome,sportturf,indoors,,,2,3,0,0,0,0,3,3,0,0,0,0
27373,TB DST,DST,2017,3,TB,,9/24/2017,H,,,34,0,41,-17,dome,sportturf,indoors,,,0,0,0,0,0,0,5,2,0,0,0,0
27374,HOU DST,DST,2017,3,HOU,,9/24/2017,H,,,36,-13.5,44.5,-3,outdoors,fieldturf ,"84 degrees, wind 4 mph",84,4,5,0,0,4,1,1,8,7,0,0,0,0
27375,NE DST,DST,2017,3,NE,,9/24/2017,A,,,33,13.5,44.5,3,outdoors,fieldturf ,"84 degrees, wind 4 mph",84,4,2,2,0,1,0,0,6,3,0,1,0,0
27376,MIA DST,DST,2017,3,MIA,,9/24/2017,H,,,20,5.5,43,-14,outdoors,fieldturf ,"88 degrees, wind 5 mph",88,5,2,0,0,2,2,0,5,5,0,0,0,0
27377,NYJ DST,DST,2017,3,NYJ,,9/24/2017,A,,,6,-5.5,43,14,outdoors,fieldturf ,"88 degrees, wind 5 mph",88,5,3,2,0,0,0,0,7,8,0,0,0,0
27378,SEA DST,DST,2017,3,SEA,,9/24/2017,H,,,33,-2,42,-6,outdoors,grass ,"88 degrees, wind 4 mph",88,4,0,0,0,0,0,0,0,6,0,0,0,0
27379,TEN DST,DST,2017,3,TEN,,9/24/2017,A,,,27,2,42,6,outdoors,grass ,"88 degrees, wind 4 mph",88,4,1,0,0,0,0,0,11,4,0,0,0,0
27380,NYG DST,DST,2017,3,NYG,,9/24/2017,H,,,27,-5,43,-3,outdoors,grass ,"89 degrees, wind 6 mph",89,6,3,0,0,1,1,0,4,5,0,0,0,0
27381,PHI DST,DST,2017,3,PHI,,9/24/2017,A,,,24,5,43,3,outdoors,grass ,"89 degrees, wind 6 mph",89,6,0,2,0,0,0,0,4,3,0,0,0,0
27382,KC DST,DST,2017,3,KC,,9/24/2017,H,,,10,3,47.5,14,outdoors,grass,"84 degrees, wind 5 mph",84,5,2,3,0,0,0,0,6,7,0,0,0,0
27383,LAC DST,DST,2017,3,LAC,,9/24/2017,A,,,24,-3,47.5,-14,outdoors,grass,"84 degrees, wind 5 mph",84,5,5,0,0,1,0,0,5,8,0,0,0,0
27384,OAK DST,DST,2017,3,OAK,,9/24/2017,H,,,27,3.5,53.5,-17,outdoors,grass ,"76 degrees, no wind",76,0,1,0,0,1,2,0,6,5,0,0,0,0
27385,WAS DST,DST,2017,3,WAS,,9/24/2017,A,,,10,-3.5,53.5,17,outdoors,grass ,"76 degrees, no wind",76,0,4,2,0,1,1,0,7,6,0,0,0,0
27386,ARI DST,DST,2017,3,ARI,,9/25/2017,A,,,28,-3,46.5,-11,retractable roof (closed),grass ,indoors,,,1,0,0,0,0,0,5,6,0,0,0,0
27387,DAL DST,DST,2017,3,DAL,,9/25/2017,H,,,17,3,46.5,11,retractable roof (closed),grass ,indoors,,,6,0,0,0,0,0,11,10,0,0,0,0
27388,CHI DST,DST,2017,4,CHI,,9/28/2017,H,,,35,-7.5,44,-21,outdoors,grass ,"65 degrees, wind 5 mph",65,5,2,0,0,0,0,0,2,2,0,0,0,0
27389,GB DST,DST,2017,4,GB,,9/28/2017,A,,,14,7.5,44,21,outdoors,grass ,"65 degrees, wind 5 mph",65,5,1,2,0,1,2,0,4,4,0,0,0,0
27390,ATL DST,DST,2017,4,ATL,,10/1/2017,A,,,23,8,48,-6,dome,fieldturf,indoors,,,3,0,0,1,2,0,,,0,1,0,0
27391,BUF DST,DST,2017,4,BUF,,10/1/2017,H,,,17,-8,48,6,dome,fieldturf,indoors,,,1,2,0,3,1,1,8,4,0,0,0,0
27392,CIN DST,DST,2017,4,CIN,,10/1/2017,H,,,7,3,41.5,24,outdoors,grass ,"63 degrees, wind 6 mph",63,6,2,1,0,0,1,0,,,0,0,0,0
27393,CLE DST,DST,2017,4,CLE,,10/1/2017,A,,,31,-3,41.5,-24,outdoors,grass ,"63 degrees, wind 6 mph",63,6,3,0,0,2,2,0,,,0,0,0,0
27394,ARI DST,DST,2017,4,ARI,,10/1/2017,A,OT,,15,6,43,3,retractable roof (closed),grass ,indoors,,,3,1,0,1,0,0,10,6,0,0,0,0
27395,SF DST,DST,2017,4,SF,,10/1/2017,H,OT,,18,-6,43,-3,retractable roof (closed),grass ,indoors,,,6,1,0,0,0,0,16,10,0,0,0,0
27396,DAL DST,DST,2017,4,DAL,,10/1/2017,A,,,35,5,51,-5,retractable roof (closed),matrixturf,indoors,,,1,0,0,1,0,0,6,8,0,0,0,0
27397,LAR DST,DST,2017,4,LAR,,10/1/2017,H,,,30,-5,51,5,retractable roof (closed),matrixturf,indoors,,,2,1,0,0,1,0,,,0,0,0,0
27398,DEN DST,DST,2017,4,DEN,,10/1/2017,A,,,10,3.5,44,6,outdoors,grass ,"72 degrees, wind 7 mph",72,7,3,1,0,0,1,0,3,5,0,0,0,0
27399,OAK DST,DST,2017,4,OAK,,10/1/2017,H,,,16,-3.5,44,-6,outdoors,grass ,"72 degrees, wind 7 mph",72,7,4,0,0,0,0,0,7,9,0,0,0,0
27400,HOU DST,DST,2017,4,HOU,,10/1/2017,A,,,14,-2.5,43,43,retractable roof (open),astroturf,indoors,,,2,4,1,1,1,0,3,2,0,0,0,0
27401,TEN DST,DST,2017,4,TEN,,10/1/2017,H,,,57,2.5,43,-43,retractable roof (open),astroturf,indoors,,,2,1,0,0,0,0,3,5,1,0,0,0
27402,MIA DST,DST,2017,4,MIA,,10/1/2017,A,,,20,-4,51.5,-20,outdoors,grass ,"63 degrees, wind 13 mph",63,13,1,0,0,0,0,0,5,5,0,0,0,0
27403,NO DST,DST,2017,4,NO,,10/1/2017,H,,,0,4,51.5,20,outdoors,grass ,"63 degrees, wind 13 mph",63,13,4,1,0,2,0,0,4,5,0,0,0,0
27404,DET DST,DST,2017,4,DET,,10/1/2017,H,,,7,-2.5,43,7,dome,sportturf,indoors,,,2,0,0,2,3,0,6,2,0,0,0,0
27405,MIN DST,DST,2017,4,MIN,,10/1/2017,A,,,14,2.5,43,-7,dome,sportturf,indoors,,,5,0,0,0,0,0,9,9,0,0,0,0
27406,CAR DST,DST,2017,4,CAR,,10/1/2017,H,,,30,-9,48,3,outdoors,fieldturf ,"61 degrees, wind 6 mph",61,6,3,0,0,0,0,0,7,6,0,0,0,0
27407,NE DST,DST,2017,4,NE,,10/1/2017,A,,,33,9,48,-3,outdoors,fieldturf ,"61 degrees, wind 6 mph",61,6,2,1,0,1,1,0,5,2,0,0,0,0
27408,JAX DST,DST,2017,4,JAX,,10/1/2017,H,OT,,23,4,38.5,-3,outdoors,fieldturf ,"64 degrees, wind 5 mph",64,5,5,1,0,2,1,1,7,7,0,0,0,0
27409,NYJ DST,DST,2017,4,NYJ,,10/1/2017,A,OT,,20,-4,38.5,3,outdoors,fieldturf ,"64 degrees, wind 5 mph",64,5,1,1,0,0,0,0,6,3,0,1,0,0
27410,BAL DST,DST,2017,4,BAL,,10/1/2017,A,,,26,-3.5,42,-17,outdoors,grass,"64 degrees, wind 6 mph",64,6,1,1,0,1,1,0,7,6,0,0,0,0
27411,PIT DST,DST,2017,4,PIT,,10/1/2017,H,,,9,3.5,42,17,outdoors,grass,"64 degrees, wind 6 mph",64,6,4,2,0,1,1,0,5,8,0,0,0,0
27412,LAC DST,DST,2017,4,LAC,,10/1/2017,A,,,26,2,48,-2,outdoors,grass,"72 degrees, wind 6 mph",72,6,1,0,0,0,1,0,8,6,0,0,0,0
27413,PHI DST,DST,2017,4,PHI,,10/1/2017,H,,,24,-2,48,2,outdoors,grass,"72 degrees, wind 6 mph",72,6,2,0,0,1,1,0,2,5,0,0,0,0
27414,IND DST,DST,2017,4,IND,,10/1/2017,H,,,46,-12.5,41.5,-28,outdoors,fieldturf ,"61 degrees, wind 8 mph",61,8,3,2,0,0,0,0,8,6,1,1,0,0
27415,SEA DST,DST,2017,4,SEA,,10/1/2017,A,,,18,12.5,41.5,28,outdoors,fieldturf ,"61 degrees, wind 8 mph",61,8,3,1,1,1,1,1,11,0,0,0,0,0
27416,NYG DST,DST,2017,4,NYG,,10/1/2017,H,,,25,-2.5,45.5,-2,outdoors,grass ,"91 degrees, wind 8 mph",91,8,1,0,0,0,0,0,4,1,0,0,0,0
27417,TB DST,DST,2017,4,TB,,10/1/2017,A,,,23,2.5,45.5,2,outdoors,grass ,"91 degrees, wind 8 mph",91,8,0,0,0,1,0,0,3,4,0,0,0,0
27418,KC DST,DST,2017,4,KC,,10/2/2017,A,,,20,6.5,48,9,outdoors,grass ,"82 degrees, wind 14 mph",82,14,0,0,0,1,2,1,1,2,0,0,0,0
27419,WAS DST,DST,2017,4,WAS,,10/2/2017,H,,,29,-6.5,48,-9,outdoors,grass ,"82 degrees, wind 14 mph",82,14,4,0,0,0,0,0,9,4,0,1,0,0
27420,NE DST,DST,2017,5,NE,,10/5/2017,H,,,14,3.5,54.5,5,outdoors,grass ,"76 degrees, wind 9 mph",76,9,2,0,0,0,0,0,6,2,0,0,0,0
27421,TB DST,DST,2017,5,TB,,10/5/2017,A,,,19,-3.5,54.5,-5,outdoors,grass ,"76 degrees, wind 9 mph",76,9,3,1,0,1,2,0,,,0,0,0,0
27422,BUF DST,DST,2017,5,BUF,,10/8/2017,H,,,20,-3,39,-4,outdoors,fieldturf ,"63 degrees, wind 10 mph",63,10,1,2,0,1,1,0,5,3,0,0,0,0
27423,CIN DST,DST,2017,5,CIN,,10/8/2017,A,,,16,3,39,4,outdoors,fieldturf ,"63 degrees, wind 10 mph",63,10,6,1,0,1,1,0,8,9,0,0,0,0
27424,CLE DST,DST,2017,5,CLE,,10/8/2017,A,,,17,-1.5,41.5,-3,outdoors,grass ,"67 degrees, wind 8 mph",67,8,3,1,0,1,0,0,8,5,0,0,0,0
27425,NYJ DST,DST,2017,5,NYJ,,10/8/2017,H,,,14,1.5,41.5,3,outdoors,grass ,"67 degrees, wind 8 mph",67,8,1,2,0,1,1,0,7,3,0,0,0,0
27426,IND DST,DST,2017,5,IND,,10/8/2017,A,OT,,23,1,43.5,3,retractable roof (closed),fieldturf ,indoors,,,2,0,0,0,1,0,6,4,0,0,0,0
27427,SF DST,DST,2017,5,SF,,10/8/2017,H,OT,,26,-1,43.5,-3,retractable roof (closed),fieldturf ,indoors,,,4,1,0,2,0,0,12,4,0,0,0,0
27428,DAL DST,DST,2017,5,DAL,,10/8/2017,A,,,35,2.5,52,-4,retractable roof (closed),matrixturf,indoors,,,4,0,0,0,0,0,6,4,1,0,0,0
27429,GB DST,DST,2017,5,GB,,10/8/2017,H,,,31,-2.5,52,4,retractable roof (closed),matrixturf,indoors,,,1,1,1,1,2,0,4,2,0,0,0,0
27430,CAR DST,DST,2017,5,CAR,,10/8/2017,H,,,24,-2,42,3,dome,fieldturf ,indoors,,,6,0,0,2,1,0,6,8,0,0,0,0
27431,DET DST,DST,2017,5,DET,,10/8/2017,A,,,27,2,42,-3,dome,fieldturf ,indoors,,,3,0,0,1,0,0,2,13,0,0,0,0
27432,HOU DST,DST,2017,5,HOU,,10/8/2017,A,,,42,-2,45,-8,retractable roof (closed),astroturf,indoors,,,1,0,0,1,0,0,3,6,0,0,1,0
27433,KC DST,DST,2017,5,KC,,10/8/2017,H,,,34,2,45,8,retractable roof (closed),astroturf,indoors,,,3,0,0,1,2,0,,,0,0,0,0
27434,MIA DST,DST,2017,5,MIA,,10/8/2017,A,,,10,0,41.5,6,outdoors,grass ,"89 degrees, wind 9 mph",89,9,6,0,0,2,2,1,11,4,0,0,0,0
27435,TEN DST,DST,2017,5,TEN,,10/8/2017,H,,,16,0,41.5,-6,outdoors,grass ,"89 degrees, wind 9 mph",89,9,1,1,0,1,1,0,3,4,0,1,0,0
27436,LAC DST,DST,2017,5,LAC,,10/8/2017,H,,,22,-3,45.5,5,outdoors,fieldturf ,"76 degrees, wind 7 mph",76,7,5,1,0,2,1,0,6,7,0,0,0,0
27437,NYG DST,DST,2017,5,NYG,,10/8/2017,A,,,27,3,45.5,-5,outdoors,fieldturf ,"76 degrees, wind 7 mph",76,7,0,1,0,1,0,0,6,2,0,0,0,0
27438,ARI DST,DST,2017,5,ARI,,10/8/2017,H,,,34,-6,45,-27,outdoors,grass ,"77 degrees, wind 10 mph",77,10,1,1,0,0,0,0,2,4,0,0,0,0
27439,PHI DST,DST,2017,5,PHI,,10/8/2017,A,,,7,6,45,27,outdoors,grass ,"77 degrees, wind 10 mph",77,10,2,0,0,1,0,0,8,5,0,0,0,0
27440,JAX DST,DST,2017,5,JAX,,10/8/2017,H,,,9,-7.5,41,21,outdoors,grass ,"73 degrees, wind 9 mph",73,9,2,5,2,0,0,0,7,6,0,0,0,0
27441,PIT DST,DST,2017,5,PIT,,10/8/2017,A,,,30,7.5,41,-21,outdoors,grass ,"73 degrees, wind 9 mph",73,9,2,1,0,0,0,0,5,4,2,0,0,0
27442,BAL DST,DST,2017,5,BAL,,10/8/2017,H,,,17,-3,40.5,13,outdoors,grass ,"72 degrees, wind 8 mph",72,8,3,0,0,1,1,1,5,5,0,0,0,0
27443,OAK DST,DST,2017,5,OAK,,10/8/2017,A,,,30,3,40.5,-13,outdoors,grass ,"72 degrees, wind 8 mph",72,8,0,0,0,1,0,0,2,3,0,1,0,0
27444,LAR DST,DST,2017,5,LAR,,10/8/2017,A,,,16,2,47,-6,outdoors,grass,"78 degrees, no wind",78,0,3,2,0,0,1,0,14,7,0,0,0,0
27445,SEA DST,DST,2017,5,SEA,,10/8/2017,H,,,10,-2,47,6,outdoors,grass,"78 degrees, no wind",78,0,2,2,0,2,2,0,4,5,0,0,0,0
27446,CHI DST,DST,2017,5,CHI,,10/9/2017,A,,,20,-3.5,41,-3,outdoors,grass ,"70 degrees, wind 10 mph",70,10,4,0,0,1,0,0,10,8,0,0,0,0
27447,MIN DST,DST,2017,5,MIN,,10/9/2017,H,,,17,3.5,41,3,outdoors,grass ,"70 degrees, wind 10 mph",70,10,1,1,0,1,1,0,2,4,0,0,0,0
27448,CAR DST,DST,2017,6,CAR,,10/12/2017,A,,,28,3,44,-5,outdoors,grass ,"72 degrees, wind 6 mph",72,6,3,0,0,1,2,0,8,2,0,0,0,0
27449,PHI DST,DST,2017,6,PHI,,10/12/2017,H,,,23,-3,44,5,outdoors,grass ,"72 degrees, wind 6 mph",72,6,2,3,0,0,1,0,9,3,0,0,0,0
27450,ATL DST,DST,2017,6,ATL,,10/15/2017,A,,,20,14,46,-3,dome,fieldturf,indoors,,,0,1,0,0,0,0,2,2,0,0,0,0
27451,MIA DST,DST,2017,6,MIA,,10/15/2017,H,,,17,-14,46,3,dome,fieldturf,indoors,,,2,1,0,0,0,0,5,5,0,0,0,0
27452,ARI DST,DST,2017,6,ARI,,10/15/2017,A,,,33,-2.5,46.5,5,retractable roof (closed),grass ,indoors,,,2,2,0,0,0,0,,,0,1,0,0
